exercise_slug,muscle
Chair_Lower_Back_Stretch,lower back
Chair_Squat,calves
Chair_Squat,glutes
Chair_Squat,hamstrings
Chair_Upper_Body_Stretch,biceps
Chair_Upper_Body_Stretch,chest
Chest_And_Front_Of_Shoulder_Stretch,shoulders
Chest_Push_from_3_point_stance,abdominals
Chest_Push_from_3_point_stance,shoulders
Chest_Push_from_3_point_stance,triceps
Chest_Push_multiple_response,abdominals
Chest_Push_multiple_response,shoulders
Chest_Push_multiple_response,triceps
Chest_Push_single_response,abdominals
Chest_Push_single_response,shoulders
Chest_Push_single_response,triceps
Chest_Push_with_Run_Release,abdominals
Chest_Push_with_Run_Release,shoulders
Chest_Push_with_Run_Release,triceps
Childs_Pose,glutes
Childs_Pose,middle back
Chin-Up,biceps
Chin-Up,forearms
Chin-Up,middle back
Chin_To_Chest_Stretch,traps
Circus_Bell,forearms
Circus_Bell,glutes
Circus_Bell,hamstrings
Circus_Bell,lower back
Circus_Bell,traps
Circus_Bell,triceps
Clean,calves
Clean,forearms
Clean,glutes
Clean,lower back
Clean,quadriceps
Clean,shoulders
Clean,traps
Clean_Deadlift,forearms
Clean_Deadlift,glutes
Clean_Deadlift,lower back
Clean_Deadlift,middle back
Clean_Deadlift,quadriceps
Clean_Deadlift,traps
Clean_Pull,forearms
Clean_Pull,glutes
Clean_Pull,hamstrings
Clean_Pull,lower back
Clean_Pull,traps
Clean_Shrug,forearms
Clean_Shrug,shoulders
Clean_and_Jerk,abdominals
Clean_and_Jerk,glutes
Clean_and_Jerk,hamstrings
Clean_and_Jerk,lower back
Clean_and_Jerk,quadriceps
Clean_and_Jerk,traps
Clean_and_Jerk,triceps
Clean_and_Press,abdominals
Clean_and_Press,calves
Clean_and_Press,glutes
Clean_and_Press,hamstrings
Clean_and_Press,lower back
Clean_and_Press,middle back
Clean_and_Press,quadriceps
Clean_and_Press,shoulders
Clean_and_Press,traps
Clean_and_Press,triceps
Clean_from_Blocks,calves
Clean_from_Blocks,glutes
Clean_from_Blocks,hamstrings
Clean_from_Blocks,shoulders
Clean_from_Blocks,traps
Clock_Push-Up,shoulders
Clock_Push-Up,triceps
Close-Grip_Barbell_Bench_Press,chest
Close-Grip_Barbell_Bench_Press,shoulders
Close-Grip_Dumbbell_Press,chest
Close-Grip_Dumbbell_Press,shoulders
Close-Grip_EZ-Bar_Curl_with_Band,forearms
Close-Grip_EZ-Bar_Press,chest
Close-Grip_EZ-Bar_Press,shoulders
Close-Grip_EZ_Bar_Curl,forearms
Close-Grip_Front_Lat_Pulldown,biceps
Close-Grip_Front_Lat_Pulldown,middle back
Close-Grip_Front_Lat_Pulldown,shoulders
Close-Grip_Push-Up_off_of_a_Dumbbell,abdominals
Close-Grip_Push-Up_off_of_a_Dumbbell,chest
Close-Grip_Push-Up_off_of_a_Dumbbell,shoulders
Close-Grip_Standing_Barbell_Curl,forearms
Conans_Wheel,abdominals
Conans_Wheel,biceps
Conans_Wheel,calves
Conans_Wheel,forearms
Conans_Wheel,lower back
Conans_Wheel,shoulders
Conans_Wheel,traps
Concentration_Curls,forearms
Cross_Body_Hammer_Curl,forearms
Cross_Over_-_With_Bands,biceps
Cross_Over_-_With_Bands,shoulders
Crossover_Reverse_Lunge,abdominals
Crossover_Reverse_Lunge,abductors
Crossover_Reverse_Lunge,glutes
Crossover_Reverse_Lunge,hamstrings
Crossover_Reverse_Lunge,quadriceps
Crucifix,forearms
Cuban_Press,traps
Dancers_Stretch,abductors
Dancers_Stretch,glutes
Deadlift_with_Bands,forearms
Deadlift_with_Bands,glutes
Deadlift_with_Bands,hamstrings
Deadlift_with_Bands,middle back
Deadlift_with_Bands,quadriceps
Deadlift_with_Bands,traps
Deadlift_with_Chains,forearms
Deadlift_with_Chains,glutes
Deadlift_with_Chains,hamstrings
Deadlift_with_Chains,middle back
Deadlift_with_Chains,quadriceps
Deadlift_with_Chains,traps
Decline_Barbell_Bench_Press,shoulders
Decline_Barbell_Bench_Press,triceps
Decline_Close-Grip_Bench_To_Skull_Crusher,chest
Decline_Close-Grip_Bench_To_Skull_Crusher,shoulders
Decline_Dumbbell_Bench_Press,shoulders
Decline_Dumbbell_Bench_Press,triceps
Decline_Push-Up,shoulders
Decline_Push-Up,triceps
Decline_Smith_Press,shoulders
Decline_Smith_Press,triceps
Deficit_Deadlift,forearms
Deficit_Deadlift,glutes
Deficit_Deadlift,hamstrings
Deficit_Deadlift,middle back
Deficit_Deadlift,quadriceps
Deficit_Deadlift,traps
Depth_Jump_Leap,abductors
Depth_Jump_Leap,adductors
Depth_Jump_Leap,calves
Depth_Jump_Leap,glutes
Depth_Jump_Leap,hamstrings
Dip_Machine,chest
Dip_Machine,shoulders
Dips_-_Chest_Version,shoulders
Dips_-_Chest_Version,triceps
Dips_-_Triceps_Version,chest
Dips_-_Triceps_Version,shoulders
Double_Kettlebell_Alternating_Hang_Clean,biceps
Double_Kettlebell_Alternating_Hang_Clean,calves
Double_Kettlebell_Alternating_Hang_Clean,forearms
Double_Kettlebell_Alternating_Hang_Clean,glutes
Double_Kettlebell_Alternating_Hang_Clean,lower back
Double_Kettlebell_Alternating_Hang_Clean,quadriceps
Double_Kettlebell_Alternating_Hang_Clean,traps
Double_Kettlebell_Jerk,calves
Double_Kettlebell_Jerk,quadriceps
Double_Kettlebell_Jerk,triceps
Double_Kettlebell_Push_Press,calves
Double_Kettlebell_Push_Press,quadriceps
Double_Kettlebell_Push_Press,triceps
Double_Kettlebell_Snatch,glutes
Double_Kettlebell_Snatch,hamstrings
Double_Kettlebell_Snatch,quadriceps
Double_Kettlebell_Windmill,glutes
Double_Kettlebell_Windmill,hamstrings
Double_Kettlebell_Windmill,shoulders
Double_Kettlebell_Windmill,triceps
Double_Leg_Butt_Kick,abductors
Double_Leg_Butt_Kick,adductors
Double_Leg_Butt_Kick,calves
Double_Leg_Butt_Kick,glutes
Double_Leg_Butt_Kick,hamstrings
Downward_Facing_Balance,abdominals
Downward_Facing_Balance,hamstrings
Drag_Curl,forearms
Drop_Push,shoulders
Drop_Push,triceps
Dumbbell_Alternate_Bicep_Curl,forearms
Dumbbell_Bench_Press,shoulders
Dumbbell_Bench_Press,triceps
Dumbbell_Bench_Press_with_Neutral_Grip,shoulders
Dumbbell_Bench_Press_with_Neutral_Grip,triceps
Dumbbell_Bicep_Curl,forearms
Dumbbell_Clean,calves
Dumbbell_Clean,forearms
Dumbbell_Clean,glutes
Dumbbell_Clean,lower back
Dumbbell_Clean,quadriceps
Dumbbell_Clean,shoulders
Dumbbell_Clean,traps
Dumbbell_Floor_Press,chest
Dumbbell_Floor_Press,shoulders
Dumbbell_Incline_Row,biceps
Dumbbell_Incline_Row,forearms
Dumbbell_Incline_Row,lats
Dumbbell_Incline_Row,shoulders
Dumbbell_Incline_Shoulder_Raise,triceps
Dumbbell_Lunges,calves
Dumbbell_Lunges,glutes
Dumbbell_Lunges,hamstrings
Dumbbell_Lying_One-Arm_Rear_Lateral_Raise,middle back
Dumbbell_One-Arm_Shoulder_Press,triceps
Dumbbell_One-Arm_Upright_Row,biceps
Dumbbell_One-Arm_Upright_Row,traps
Dumbbell_Raise,biceps
Dumbbell_Rear_Lunge,calves
Dumbbell_Rear_Lunge,glutes
Dumbbell_Rear_Lunge,hamstrings
Dumbbell_Scaption,traps
Dumbbell_Seated_Box_Jump,calves
Dumbbell_Seated_Box_Jump,glutes
Dumbbell_Seated_Box_Jump,hamstrings
Dumbbell_Shoulder_Press,triceps
Dumbbell_Squat,calves
Dumbbell_Squat,glutes
Dumbbell_Squat,hamstrings
Dumbbell_Squat,lower back
Dumbbell_Squat_To_A_Bench,calves
Dumbbell_Squat_To_A_Bench,glutes
Dumbbell_Squat_To_A_Bench,hamstrings
Dumbbell_Squat_To_A_Bench,lower back
Dumbbell_Step_Ups,calves
Dumbbell_Step_Ups,glutes
Dumbbell_Step_Ups,hamstrings
Dynamic_Chest_Stretch,middle back
EZ-Bar_Skullcrusher,forearms
Elbow_Circles,traps
Elbows_Back,shoulders
Elevated_Back_Lunge,glutes
Elevated_Back_Lunge,hamstrings
Elevated_Cable_Rows,middle back
Elevated_Cable_Rows,traps
Elliptical_Trainer,calves
Elliptical_Trainer,glutes
Elliptical_Trainer,hamstrings
Extended_Range_One-Arm_Kettlebell_Floor_Press,shoulders
Extended_Range_One-Arm_Kettlebell_Floor_Press,triceps
Face_Pull,middle back
Farmers_Walk,abdominals
Farmers_Walk,glutes
Farmers_Walk,hamstrings
Farmers_Walk,lower back
Farmers_Walk,quadriceps
Farmers_Walk,traps
Fast_Skipping,abductors
Fast_Skipping,adductors
Fast_Skipping,calves
Fast_Skipping,glutes
Fast_Skipping,hamstrings
Floor_Glute-Ham_Raise,calves
Floor_Glute-Ham_Raise,glutes
Floor_Press,chest
Floor_Press,shoulders
Floor_Press_with_Chains,chest
Floor_Press_with_Chains,shoulders
Flutter_Kicks,hamstrings
Forward_Drag_with_Press,calves
Forward_Drag_with_Press,glutes
Forward_Drag_with_Press,hamstrings
Forward_Drag_with_Press,quadriceps
Forward_Drag_with_Press,shoulders
Forward_Drag_with_Press,triceps
Frankenstein_Squat,abdominals
Frankenstein_Squat,calves
Frankenstein_Squat,glutes
Frankenstein_Squat,hamstrings
Freehand_Jump_Squat,calves
Freehand_Jump_Squat,glutes
Freehand_Jump_Squat,hamstrings
Frog_Hops,calves
Frog_Hops,glutes
Frog_Hops,hamstrings
Front_Barbell_Squat,calves
Front_Barbell_Squat,glutes
Front_Barbell_Squat,hamstrings
Front_Barbell_Squat_To_A_Bench,calves
Front_Barbell_Squat_To_A_Bench,glutes
Front_Barbell_Squat_To_A_Bench,hamstrings
Front_Box_Jump,abductors
Front_Box_Jump,adductors
Front_Box_Jump,calves
Front_Box_Jump,glutes
Front_Box_Jump,quadriceps
Front_Cone_Hops_or_hurdle_hops,abductors
Front_Cone_Hops_or_hurdle_hops,adductors
Front_Cone_Hops_or_hurdle_hops,calves
Front_Cone_Hops_or_hurdle_hops,glutes
Front_Cone_Hops_or_hurdle_hops,hamstrings
Front_Raise_And_Pullover,lats
Front_Raise_And_Pullover,shoulders
Front_Raise_And_Pullover,triceps
Front_Squat_Clean_Grip,abdominals
