exercise_slug,language_code,name,description
Dumbbell_Squat_To_A_Bench,en,Dumbbell Squat To A Bench,
Dumbbell_Squat_To_A_Bench,vi,,
Dumbbell_Step_Ups,en,Dumbbell Step Ups,
Dumbbell_Step_Ups,vi,,
Dumbbell_Tricep_Extension_-Pronated_Grip,en,Dumbbell Tricep Extension -Pronated Grip,
Dumbbell_Tricep_Extension_-Pronated_Grip,vi,,
Dynamic_Back_Stretch,en,Dynamic Back Stretch,
Dynamic_Back_Stretch,vi,,
Dynamic_Chest_Stretch,en,Dynamic Chest Stretch,
Dynamic_Chest_Stretch,vi,,
EZ-Bar_Curl,en,EZ-Bar Curl,
EZ-Bar_Curl,vi,,
EZ-Bar_Skullcrusher,en,EZ-Bar Skullcrusher,
EZ-Bar_Skullcrusher,vi,,
Elbow_Circles,en,Elbow Circles,
Elbow_Circles,vi,,
Elbow_to_Knee,en,Elbow to Knee,
Elbow_to_Knee,vi,,
Elbows_Back,en,Elbows Back,
Elbows_Back,vi,,
Elevated_Back_Lunge,en,Elevated Back Lunge,
Elevated_Back_Lunge,vi,,
Elevated_Cable_Rows,en,Elevated Cable Rows,
Elevated_Cable_Rows,vi,,
Elliptical_Trainer,en,Elliptical Trainer,
Elliptical_Trainer,vi,,
Exercise_Ball_Crunch,en,Exercise Ball Crunch,
Exercise_Ball_Crunch,vi,,
Exercise_Ball_Pull-In,en,Exercise Ball Pull-In,
Exercise_Ball_Pull-In,vi,,
Extended_Range_One-Arm_Kettlebell_Floor_Press,en,Extended Range One-Arm Kettlebell Floor Press,
Extended_Range_One-Arm_Kettlebell_Floor_Press,vi,,
External_Rotation,en,External Rotation,
External_Rotation,vi,,
External_Rotation_with_Band,en,External Rotation with Band,
External_Rotation_with_Band,vi,,
External_Rotation_with_Cable,en,External Rotation with Cable,
External_Rotation_with_Cable,vi,,
Face_Pull,en,Face Pull,
Face_Pull,vi,,
Farmers_Walk,en,Farmer's Walk,
Farmers_Walk,vi,,
Fast_Skipping,en,Fast Skipping,
Fast_Skipping,vi,,
Finger_Curls,en,Finger Curls,
Finger_Curls,vi,,
Flat_Bench_Cable_Flyes,en,Flat Bench Cable Flyes,
Flat_Bench_Cable_Flyes,vi,,
Flat_Bench_Leg_Pull-In,en,Flat Bench Leg Pull-In,
Flat_Bench_Leg_Pull-In,vi,,
Flat_Bench_Lying_Leg_Raise,en,Flat Bench Lying Leg Raise,
Flat_Bench_Lying_Leg_Raise,vi,,
Flexor_Incline_Dumbbell_Curls,en,Flexor Incline Dumbbell Curls,
Flexor_Incline_Dumbbell_Curls,vi,,
Floor_Glute-Ham_Raise,en,Floor Glute-Ham Raise,
Floor_Glute-Ham_Raise,vi,,
Floor_Press,en,Floor Press,
Floor_Press,vi,,
Floor_Press_with_Chains,en,Floor Press with Chains,
Floor_Press_with_Chains,vi,,
Flutter_Kicks,en,Flutter Kicks,
Flutter_Kicks,vi,,
Foot-SMR,en,Foot-SMR,
Foot-SMR,vi,,
Forward_Drag_with_Press,en,Forward Drag with Press,
Forward_Drag_with_Press,vi,,
Frankenstein_Squat,en,Frankenstein Squat,
Frankenstein_Squat,vi,,
Freehand_Jump_Squat,en,Freehand Jump Squat,
Freehand_Jump_Squat,vi,,
Frog_Hops,en,Frog Hops,
Frog_Hops,vi,,
Frog_Sit-Ups,en,Frog Sit-Ups,
Frog_Sit-Ups,vi,,
Front_Barbell_Squat,en,Front Barbell Squat,
Front_Barbell_Squat,vi,,
Front_Barbell_Squat_To_A_Bench,en,Front Barbell Squat To A Bench,
Front_Barbell_Squat_To_A_Bench,vi,,
Front_Box_Jump,en,Front Box Jump,
Front_Box_Jump,vi,,
Front_Cable_Raise,en,Front Cable Raise,
Front_Cable_Raise,vi,,
Front_Cone_Hops_or_hurdle_hops,en,Front Cone Hops (or hurdle hops),
Front_Cone_Hops_or_hurdle_hops,vi,,
Front_Dumbbell_Raise,en,Front Dumbbell Raise,
Front_Dumbbell_Raise,vi,,
